Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.001
Label,
TIME,CH1
-7.040e-02,-4e-05
-7.032e-02,0.00016
-7.024e-02,-0.00064
-7.016e-02,-0.00052
-7.008e-02,-0.00028
-7.000e-02,-8e-05
-6.992e-02,0.00096
-6.984e-02,-0.00024
-6.976e-02,-0.00044
-6.968e-02,0.00032
-6.960e-02,0.0008
-6.952e-02,0.00024
-6.944e-02,0.00052
-6.936e-02,0.00112
-6.928e-02,-0.00048
-6.920e-02,-0.0002
-6.912e-02,0.00032
-6.904e-02,0.00076
-6.896e-02,0.00044
-6.888e-02,0.0006
-6.880e-02,-0.00024
-6.872e-02,0.00052
-6.864e-02,0.00076
-6.856e-02,-0.0004
-6.848e-02,0.00028
-6.840e-02,-0.00036
-6.832e-02,0.00052
-6.824e-02,-0.00084
-6.816e-02,0.0004
-6.808e-02,0.00048
-6.800e-02,0.00052
-6.792e-02,0.0004
-6.784e-02,-0.00044
-6.776e-02,0.00092
-6.768e-02,-0.00024
-6.760e-02,-0.00112
-6.752e-02,0.00052
-6.744e-02,0.00036
-6.736e-02,-4e-05
-6.728e-02,0.00032
-6.720e-02,0.00064
-6.712e-02,0.00064
-6.704e-02,-0.0006
-6.696e-02,-0.00044
-6.688e-02,4e-05
-6.680e-02,0.00012
-6.672e-02,8e-05
-6.664e-02,-0.00032
-6.656e-02,-0.00064
-6.648e-02,0.001
-6.640e-02,0.0008
-6.632e-02,0.0002
-6.624e-02,-0.00032
-6.616e-02,-0.00036
-6.608e-02,0.00036
-6.600e-02,0.00064
-6.592e-02,0.00072
-6.584e-02,-0.00016
-6.576e-02,-0.00056
-6.568e-02,0.00056
-6.560e-02,-0.00048
-6.552e-02,0.00016
-6.544e-02,-4e-05
-6.536e-02,0.00036
-6.528e-02,-0.00052
-6.520e-02,-0.00048
-6.512e-02,0.00072
-6.504e-02,8e-05
-6.496e-02,0.0012
-6.488e-02,0.00088
-6.480e-02,0.00032
-6.472e-02,-0.00032
-6.464e-02,-0.00028
-6.456e-02,0.00016
-6.448e-02,-0.0004
-6.440e-02,0.00052
-6.432e-02,-0.00036
-6.424e-02,-0.00016
-6.416e-02,0.00028
-6.408e-02,0.00016
-6.400e-02,-4e-05
-6.392e-02,-0.00012
-6.384e-02,-8e-05
-6.376e-02,-0.00028
-6.368e-02,-0.00112
-6.360e-02,-0.0004
-6.352e-02,-0.00056
-6.344e-02,0.00088
-6.336e-02,0.00092
-6.328e-02,0.00036
-6.320e-02,-0.00036
-6.312e-02,0.00028
-6.304e-02,0.00016
-6.296e-02,0.00028
-6.288e-02,0.00052
-6.280e-02,-8e-05
-6.272e-02,0.00032
-6.264e-02,0.0006
-6.256e-02,-0.00072
-6.248e-02,-0.00024
-6.240e-02,-0.00028
-6.232e-02,-8e-05
-6.224e-02,0.00052
-6.216e-02,0
-6.208e-02,-0.00024
-6.200e-02,-0.00036
-6.192e-02,-0.0002
-6.184e-02,0.00072
-6.176e-02,0.00028
-6.168e-02,0.0002
-6.160e-02,-0.00016
-6.152e-02,-0.00056
-6.144e-02,-0.00044
-6.136e-02,0.0008
-6.128e-02,8e-05
-6.120e-02,-0.00024
-6.112e-02,-8e-05
-6.104e-02,8e-05
-6.096e-02,-0.00076
-6.088e-02,-0.00048
-6.080e-02,-0.0002
-6.072e-02,-0.0002
-6.064e-02,0.0006
-6.056e-02,-0.00028
-6.048e-02,0.00084
-6.040e-02,0.00032
-6.032e-02,0.00072
-6.024e-02,-0.00032
-6.016e-02,-0.00016
-6.008e-02,0.00044
-6.000e-02,-0.0004
-5.992e-02,0.00036
-5.984e-02,-0.00024
-5.976e-02,0.00084
-5.968e-02,0.00056
-5.960e-02,0.00028
-5.952e-02,0.0002
-5.944e-02,0.00024
-5.936e-02,0.00044
-5.928e-02,0.00044
-5.920e-02,0.00056
-5.912e-02,-0.0004
-5.904e-02,0
-5.896e-02,0.00036
-5.888e-02,4e-05
-5.880e-02,0.00072
-5.872e-02,-0.00016
-5.864e-02,0.00024
-5.856e-02,-0.00028
-5.848e-02,-0.00088
-5.840e-02,0.00076
-5.832e-02,-0.00016
-5.824e-02,0.00052
-5.816e-02,0.00052
-5.808e-02,-0.001
-5.800e-02,-0.00032
-5.792e-02,0.00012
-5.784e-02,-0.00012
-5.776e-02,-0.00024
-5.768e-02,-8e-05
-5.760e-02,-0.00072
-5.752e-02,0
-5.744e-02,0.00048
-5.736e-02,0
-5.728e-02,8e-05
-5.720e-02,-0.00032
-5.712e-02,0.0006
-5.704e-02,0.00048
-5.696e-02,-0.00044
-5.688e-02,0.00064
-5.680e-02,-0.00024
-5.672e-02,0
-5.664e-02,-0.00028
-5.656e-02,0.00044
-5.648e-02,-0.00068
-5.640e-02,4e-05
-5.632e-02,0.001
-5.624e-02,0.00072
-5.616e-02,-0.00052
-5.608e-02,0.00044
-5.600e-02,-0.0004
-5.592e-02,0.00064
-5.584e-02,-0.00028
-5.576e-02,-0.0002
-5.568e-02,-0.0002
-5.560e-02,0.00108
-5.552e-02,0.00052
-5.544e-02,-0.00036
-5.536e-02,0.00064
-5.528e-02,0.00076
-5.520e-02,0.00028
-5.512e-02,0.00072
-5.504e-02,-0.00032
-5.496e-02,0.0006
-5.488e-02,0.00052
-5.480e-02,-8e-05
-5.472e-02,-0.00024
-5.464e-02,0.00068
-5.456e-02,0.00028
-5.448e-02,-0.00016
-5.440e-02,8e-05
-5.432e-02,-0.00028
-5.424e-02,0.00012
-5.416e-02,0.00012
-5.408e-02,0.00072
-5.400e-02,4e-05
-5.392e-02,0.00044
-5.384e-02,-0.00024
-5.376e-02,-0.00036
-5.368e-02,-0.0002
-5.360e-02,0.0004
-5.352e-02,0.00068
-5.344e-02,0.00076
-5.336e-02,-0.0006
-5.328e-02,0.00096
-5.320e-02,-0.00028
-5.312e-02,-0.00024
-5.304e-02,0.00056
-5.296e-02,0.00088
-5.288e-02,0.00056
-5.280e-02,0.00072
-5.272e-02,8e-05
-5.264e-02,-0.00056
-5.256e-02,0.00084
-5.248e-02,0.00032
-5.240e-02,0.00024
-5.232e-02,-0.00056
-5.224e-02,0.00032
-5.216e-02,0.00036
-5.208e-02,-4e-05
-5.200e-02,-0.00032
-5.192e-02,0.00044
-5.184e-02,-8e-05
-5.176e-02,-0.00012
-5.168e-02,-0.00092
-5.160e-02,0.00052
-5.152e-02,-0.00068
-5.144e-02,-8e-05
-5.136e-02,0.00016
-5.128e-02,-0.00012
-5.120e-02,0.00032
-5.112e-02,-0.00088
-5.104e-02,0.00072
-5.096e-02,0.00024
-5.088e-02,-0.00084
-5.080e-02,-0.00056
-5.072e-02,-8e-05
-5.064e-02,0.00048
-5.056e-02,-8e-05
-5.048e-02,-0.00028
-5.040e-02,0.00048
-5.032e-02,0.0002
-5.024e-02,0.00048
-5.016e-02,0.00012
-5.008e-02,0.00036
-5.000e-02,0.00024
-4.992e-02,0.00096
-4.984e-02,0.00056
-4.976e-02,4e-05
-4.968e-02,-0.00052
-4.960e-02,0.00028
-4.952e-02,0.00068
-4.944e-02,0.00016
-4.936e-02,0.0008
-4.928e-02,0.00068
-4.920e-02,-0.0002
-4.912e-02,-0.00036
-4.904e-02,0.00044
-4.896e-02,-0.00028
-4.888e-02,-0.00024
-4.880e-02,0.0004
-4.872e-02,-0.00012
-4.864e-02,-0.0004
-4.856e-02,-0.00024
-4.848e-02,0.00052
-4.840e-02,0.00024
-4.832e-02,4e-05
-4.824e-02,0.00072
-4.816e-02,0.00032
-4.808e-02,-0.00032
-4.800e-02,-0.00036
-4.792e-02,-0.00036
-4.784e-02,-0.0006
-4.776e-02,0.00024
-4.768e-02,-0.00036
-4.760e-02,0.00048
-4.752e-02,8e-05
-4.744e-02,-8e-05
-4.736e-02,0.0002
-4.728e-02,0.0002
-4.720e-02,0.00032
-4.712e-02,-0.00012
-4.704e-02,-0.0006
-4.696e-02,-0.00032
-4.688e-02,0.0002
-4.680e-02,0.00096
-4.672e-02,0.00064
-4.664e-02,0.0006
-4.656e-02,0.00012
-4.648e-02,0.00048
-4.640e-02,-0.0006
-4.632e-02,0.00052
-4.624e-02,0
-4.616e-02,-4e-05
-4.608e-02,0.00064
-4.600e-02,-0.00064
-4.592e-02,0.00084
-4.584e-02,0.0002
-4.576e-02,-4e-05
-4.568e-02,-0.00012
-4.560e-02,-0.00048
-4.552e-02,0.00012
-4.544e-02,0.00024
-4.536e-02,0.00024
-4.528e-02,-0.0002
-4.520e-02,0.00012
-4.512e-02,-0.00028
-4.504e-02,0.00076
-4.496e-02,-0.00048
-4.488e-02,0.00052
-4.480e-02,-0.00028
-4.472e-02,0.00048
-4.464e-02,0.0008
-4.456e-02,-0.0004
-4.448e-02,-0.00036
-4.440e-02,-0.0002
-4.432e-02,8e-05
-4.424e-02,0.00028
-4.416e-02,-0.00048
-4.408e-02,0.00064
-4.400e-02,0.00072
-4.392e-02,-0.00076
-4.384e-02,-0.00028
-4.376e-02,0.00016
-4.368e-02,0.00016
-4.360e-02,0.00044
-4.352e-02,0.00032
-4.344e-02,0.00028
-4.336e-02,-0.00024
-4.328e-02,-0.00012
-4.320e-02,0.00084
-4.312e-02,0.00012
-4.304e-02,-0.00032
-4.296e-02,-0.00032
-4.288e-02,0.00016
-4.280e-02,4e-05
-4.272e-02,-0.0002
-4.264e-02,0.00024
-4.256e-02,0.0006
-4.248e-02,0.00076
-4.240e-02,-0.0002
-4.232e-02,0.00052
-4.224e-02,0.00068
-4.216e-02,-0.00028
-4.208e-02,0.0004
-4.200e-02,-0.00068
-4.192e-02,0.00044
-4.184e-02,0.00044
-4.176e-02,-0.00048
-4.168e-02,-0.00048
-4.160e-02,-0.00016
-4.152e-02,0.00056
