Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,0.0008
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.002
Label,
TIME,CH1
-8.000e-01,-0.00216
-7.992e-01,-0.00024
-7.984e-01,-0.00168
-7.976e-01,0.00672
-7.968e-01,-0.00096
-7.960e-01,-0.00304
-7.952e-01,-0.0032
-7.944e-01,0.00328
-7.936e-01,0.00048
-7.928e-01,-0.00392
-7.920e-01,0.00168
-7.912e-01,0.002
-7.904e-01,-0.00648
-7.896e-01,-0.002
-7.888e-01,0.00024
-7.880e-01,-0.00088
-7.872e-01,0.00352
-7.864e-01,0.00256
-7.856e-01,-0.00456
-7.848e-01,-0.00216
-7.840e-01,0.00168
-7.832e-01,-0.00344
-7.824e-01,-0.0032
-7.816e-01,0.00096
-7.808e-01,-0.00088
-7.800e-01,0.00072
-7.792e-01,0.0016
-7.784e-01,0.00208
-7.776e-01,0.00328
-7.768e-01,0.00152
-7.760e-01,0.00488
-7.752e-01,0.00392
-7.744e-01,-0.0036
-7.736e-01,-0.00176
-7.728e-01,0.00208
-7.720e-01,0.00128
-7.712e-01,0.002
-7.704e-01,-0.0056
-7.696e-01,0.00192
-7.688e-01,-0.00136
-7.680e-01,0.00376
-7.672e-01,0.00568
-7.664e-01,-0.002
-7.656e-01,-0.00056
-7.648e-01,-0.00312
-7.640e-01,0.00048
-7.632e-01,-0.00624
-7.624e-01,-0.00168
-7.616e-01,-0.00312
-7.608e-01,0.00416
-7.600e-01,0.00032
-7.592e-01,0.00112
-7.584e-01,-0.00112
-7.576e-01,0.00112
-7.568e-01,-0.00312
-7.560e-01,-0.00032
-7.552e-01,0.00416
-7.544e-01,-0.00296
-7.536e-01,-0.00232
-7.528e-01,0.00096
-7.520e-01,0.00904
-7.512e-01,0.00048
-7.504e-01,-0.002
-7.496e-01,0.00352
-7.488e-01,0.00376
-7.480e-01,-0.00104
-7.472e-01,0.00312
-7.464e-01,0.00096
-7.456e-01,-0.00032
-7.448e-01,0.00016
-7.440e-01,0.0016
-7.432e-01,-0.00088
-7.424e-01,-0.0016
-7.416e-01,-0.0004
-7.408e-01,-0.00168
-7.400e-01,-0.0012
-7.392e-01,0.00312
-7.384e-01,0.0008
-7.376e-01,0.00288
-7.368e-01,-0.00288
-7.360e-01,0.00256
-7.352e-01,0.00296
-7.344e-01,-0.0044
-7.336e-01,-0.00048
-7.328e-01,-0.00088
-7.320e-01,0.00296
-7.312e-01,-0.0008
-7.304e-01,-0.00088
-7.296e-01,-0.00232
-7.288e-01,0.00312
-7.280e-01,0.00624
-7.272e-01,0.00744
-7.264e-01,0.00176
-7.256e-01,0.00784
-7.248e-01,-0.00168
-7.240e-01,0.00144
-7.232e-01,-0.00216
-7.224e-01,0.00024
-7.216e-01,0.0008
-7.208e-01,0.00168
-7.200e-01,0.00312
-7.192e-01,0.0024
-7.184e-01,-0.00184
-7.176e-01,0.00752
-7.168e-01,-0.00056
-7.160e-01,-0.00168
-7.152e-01,0.0044
-7.144e-01,-0.00304
-7.136e-01,-0.00336
-7.128e-01,0.00072
-7.120e-01,-0.00688
-7.112e-01,8e-05
-7.104e-01,-0.00672
-7.096e-01,-0.00104
-7.088e-01,-0.00144
-7.080e-01,0.00232
-7.072e-01,0.00768
-7.064e-01,0.00056
-7.056e-01,0.00216
-7.048e-01,-0.00128
-7.040e-01,-0.0012
-7.032e-01,-0.00432
-7.024e-01,-0.00176
-7.016e-01,0.0008
-7.008e-01,0.00208
-7.000e-01,0.00144
-6.992e-01,0.0016
-6.984e-01,0.00312
-6.976e-01,0.00056
-6.968e-01,0.00264
-6.960e-01,0.00056
-6.952e-01,0.00432
-6.944e-01,-0.00856
-6.936e-01,0.00088
-6.928e-01,-0.00232
-6.920e-01,-0.0036
-6.912e-01,-0.0036
-6.904e-01,0.00584
-6.896e-01,0.00264
-6.888e-01,-0.00536
-6.880e-01,0.00136
-6.872e-01,0.00728
-6.864e-01,-0.00032
-6.856e-01,0.00016
-6.848e-01,-0.00384
-6.840e-01,-0.00704
-6.832e-01,-0.00024
-6.824e-01,-0.0004
-6.816e-01,0.00504
-6.808e-01,0.00296
-6.800e-01,0.00064
-6.792e-01,-0.00112
-6.784e-01,0.00112
-6.776e-01,8e-05
-6.768e-01,-0.00288
-6.760e-01,-0.00112
-6.752e-01,-0.0012
-6.744e-01,-0.00176
-6.736e-01,-0.00224
-6.728e-01,0.00128
-6.720e-01,-0.00336
-6.712e-01,0.00056
-6.704e-01,0
-6.696e-01,0.00328
-6.688e-01,-0.00408
-6.680e-01,0.00184
-6.672e-01,8e-05
-6.664e-01,0.0016
-6.656e-01,-0.00224
-6.648e-01,0.00072
-6.640e-01,-0.00248
-6.632e-01,0.0044
-6.624e-01,-0.002
-6.616e-01,0.00488
-6.608e-01,-0.00248
-6.600e-01,-0.00256
-6.592e-01,-0.0036
-6.584e-01,0.00176
-6.576e-01,-0.0012
-6.568e-01,0.00096
-6.560e-01,0.00016
-6.552e-01,-0.00024
-6.544e-01,0
-6.536e-01,-0.0032
-6.528e-01,0.0012
-6.520e-01,-0.00872
-6.512e-01,0.00128
-6.504e-01,0.0012
-6.496e-01,-0.00112
-6.488e-01,-0.00488
-6.480e-01,-0.00056
-6.472e-01,-0.00016
-6.464e-01,-0.00048
-6.456e-01,0.00216
-6.448e-01,0.00048
-6.440e-01,-0.0008
-6.432e-01,0.00176
-6.424e-01,0.0008
-6.416e-01,0
-6.408e-01,0.00016
-6.400e-01,-0.00096
-6.392e-01,-0.00072
-6.384e-01,-0.00152
-6.376e-01,-0.00056
-6.368e-01,0.00016
-6.360e-01,-0.00376
-6.352e-01,0
-6.344e-01,0.0024
-6.336e-01,0.00048
-6.328e-01,-0.00176
-6.320e-01,-0.00456
-6.312e-01,0.00224
-6.304e-01,0.00032
-6.296e-01,0.00256
-6.288e-01,0.00088
-6.280e-01,-0.00048
-6.272e-01,-0.00488
-6.264e-01,-0.002
-6.256e-01,-0.0028
-6.248e-01,-0.00048
-6.240e-01,-8e-05
-6.232e-01,-0.0008
-6.224e-01,0.00088
-6.216e-01,0.0064
-6.208e-01,0.004
-6.200e-01,0.00016
-6.192e-01,0.00208
-6.184e-01,-0.00448
-6.176e-01,-0.00736
-6.168e-01,0.00408
-6.160e-01,0
-6.152e-01,-0.0016
-6.144e-01,0.00072
-6.136e-01,-8e-05
-6.128e-01,-0.00072
-6.120e-01,-0.00128
-6.112e-01,0.0048
-6.104e-01,0.00136
-6.096e-01,0.00328
-6.088e-01,-0.00176
-6.080e-01,-0.00208
-6.072e-01,-0.00584
-6.064e-01,-0.00216
-6.056e-01,0.00296
-6.048e-01,-0.00104
-6.040e-01,-0.00568
-6.032e-01,0.00632
-6.024e-01,0
-6.016e-01,0.00368
-6.008e-01,-0.00056
-6.000e-01,0.00248
-5.992e-01,0.00032
-5.984e-01,-0.00496
-5.976e-01,-0.00384
-5.968e-01,0.00048
-5.960e-01,-0.00208
-5.952e-01,-0.0004
-5.944e-01,0.0004
-5.936e-01,0.00256
-5.928e-01,0.00064
-5.920e-01,-0.0028
-5.912e-01,-0.00056
-5.904e-01,0.00144
-5.896e-01,-0.00128
-5.888e-01,0.00424
-5.880e-01,-0.00096
-5.872e-01,-0.0032
-5.864e-01,-0.00176
-5.856e-01,0.00216
-5.848e-01,0.00256
-5.840e-01,8e-05
-5.832e-01,-0.00216
-5.824e-01,0.00528
-5.816e-01,-0.002
-5.808e-01,-0.00072
-5.800e-01,0.00024
-5.792e-01,-0.0028
-5.784e-01,-0.00248
-5.776e-01,-0.00416
-5.768e-01,-0.00048
-5.760e-01,-0.00072
-5.752e-01,0.00464
-5.744e-01,0.00048
-5.736e-01,0.00504
-5.728e-01,-0.0004
-5.720e-01,0.00224
-5.712e-01,-0.00104
-5.704e-01,-0.00184
-5.696e-01,-0.00064
-5.688e-01,0.00088
-5.680e-01,-0.00064
-5.672e-01,-0.00176
-5.664e-01,0.0048
-5.656e-01,0.00408
-5.648e-01,0.00104
-5.640e-01,0
-5.632e-01,0.00304
-5.624e-01,0.0004
-5.616e-01,-0.00288
-5.608e-01,-0.00488
-5.600e-01,-0.00264
-5.592e-01,-0.0008
-5.584e-01,-0.0008
-5.576e-01,-0.00664
-5.568e-01,-0.00104
-5.560e-01,0.00488
-5.552e-01,0.00392
-5.544e-01,0.00264
-5.536e-01,-0.00032
-5.528e-01,0.00392
-5.520e-01,0.00432
-5.512e-01,0.00184
-5.504e-01,-0.00872
-5.496e-01,-0.00144
-5.488e-01,0.00576
-5.480e-01,-0.00264
-5.472e-01,-0.00024
-5.464e-01,-0.00456
-5.456e-01,0.004
-5.448e-01,0.00048
-5.440e-01,-0.00184
-5.432e-01,0.00096
-5.424e-01,-0.00408
-5.416e-01,-0.00248
-5.408e-01,-0.00608
-5.400e-01,0.0024
-5.392e-01,0.00512
-5.384e-01,-0.0044
-5.376e-01,-0.00352
-5.368e-01,-0.0008
-5.360e-01,-0.00216
-5.352e-01,0.00504
-5.344e-01,0.0076
-5.336e-01,-0.00272
-5.328e-01,-0.00208
-5.320e-01,0.0044
-5.312e-01,-0.004
-5.304e-01,-0.00768
-5.296e-01,-0.00096
-5.288e-01,0.0008
-5.280e-01,0.00128
-5.272e-01,0.00368
-5.264e-01,-0.00032
-5.256e-01,-0.00152
-5.248e-01,-0.00216
-5.240e-01,-0.0016
-5.232e-01,0.00104
-5.224e-01,0.00064
-5.216e-01,-0.004
-5.208e-01,-0.00408
-5.200e-01,-0.00424
-5.192e-01,-0.00296
-5.184e-01,0.00232
-5.176e-01,-0.002
-5.168e-01,0.00352
-5.160e-01,0.00224
-5.152e-01,0.00688
-5.144e-01,0.00672
-5.136e-01,-0.00624
-5.128e-01,-0.00104
-5.120e-01,0.00552
-5.112e-01,-0.00216
