Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,0.00016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Label,
TIME,CH1
-6.080e-02,11.8
-6.064e-02,11.8
-6.048e-02,11.8
-6.032e-02,11.6
-6.016e-02,11.8
-6.000e-02,11.8
-5.984e-02,11.6
-5.968e-02,11.8
-5.952e-02,11.8
-5.936e-02,11.6
-5.920e-02,11.8
-5.904e-02,11.6
-5.888e-02,11.8
-5.872e-02,11.8
-5.856e-02,11.6
-5.840e-02,11.8
-5.824e-02,11.8
-5.808e-02,11.8
-5.792e-02,11.8
-5.776e-02,11.8
-5.760e-02,11.8
-5.744e-02,11.8
-5.728e-02,11.8
-5.712e-02,11.6
-5.696e-02,11.8
-5.680e-02,11.8
-5.664e-02,11.6
-5.648e-02,11.6
-5.632e-02,11.8
-5.616e-02,11.8
-5.600e-02,11.6
-5.584e-02,11.8
-5.568e-02,11.6
-5.552e-02,11.8
-5.536e-02,11.6
-5.520e-02,11.8
-5.504e-02,11.8
-5.488e-02,11.8
-5.472e-02,11.8
-5.456e-02,11.8
-5.440e-02,11.8
-5.424e-02,11.8
-5.408e-02,11.8
-5.392e-02,11.6
-5.376e-02,11.6
-5.360e-02,11.8
-5.344e-02,11.8
-5.328e-02,11.8
-5.312e-02,11.8
-5.296e-02,11.8
-5.280e-02,11.8
-5.264e-02,11.8
-5.248e-02,11.8
-5.232e-02,11.8
-5.216e-02,11.8
-5.200e-02,11.6
-5.184e-02,11.8
-5.168e-02,11.8
-5.152e-02,11.8
-5.136e-02,11.6
-5.120e-02,11.6
-5.104e-02,11.8
-5.088e-02,11.8
-5.072e-02,11.8
-5.056e-02,11.8
-5.040e-02,11.6
-5.024e-02,11.6
-5.008e-02,11.8
-4.992e-02,11.8
-4.976e-02,11.8
-4.960e-02,11.6
-4.944e-02,11.8
-4.928e-02,11.8
-4.912e-02,11.8
-4.896e-02,11.8
-4.880e-02,11.8
-4.864e-02,11.8
-4.848e-02,11.8
-4.832e-02,11.8
-4.816e-02,11.8
-4.800e-02,11.6
-4.784e-02,11.8
-4.768e-02,11.8
-4.752e-02,11.8
-4.736e-02,11.8
-4.720e-02,11.8
-4.704e-02,11.8
-4.688e-02,11.8
-4.672e-02,11.6
-4.656e-02,11.8
-4.640e-02,11.8
-4.624e-02,11.8
-4.608e-02,11.6
-4.592e-02,11.8
-4.576e-02,11.6
-4.560e-02,11.8
-4.544e-02,11.8
-4.528e-02,11.6
-4.512e-02,11.6
-4.496e-02,11.8
-4.480e-02,11.8
-4.464e-02,11.8
-4.448e-02,11.8
-4.432e-02,11.8
-4.416e-02,11.8
-4.400e-02,11.8
-4.384e-02,11.8
-4.368e-02,11.8
-4.352e-02,11.8
-4.336e-02,11.8
-4.320e-02,11.6
-4.304e-02,11.8
-4.288e-02,11.8
-4.272e-02,11.8
-4.256e-02,11.8
-4.240e-02,11.8
-4.224e-02,11.8
-4.208e-02,11.8
-4.192e-02,11.8
-4.176e-02,11.8
-4.160e-02,11.8
-4.144e-02,11.8
-4.128e-02,11.8
-4.112e-02,11.8
-4.096e-02,11.6
-4.080e-02,11.6
-4.064e-02,11.8
-4.048e-02,11.8
-4.032e-02,11.6
-4.016e-02,11.6
-4.000e-02,11.8
-3.984e-02,11.6
-3.968e-02,11.6
-3.952e-02,11.8
-3.936e-02,11.8
-3.920e-02,11.8
-3.904e-02,11.8
-3.888e-02,11.8
-3.872e-02,11.8
-3.856e-02,11.8
-3.840e-02,11.8
-3.824e-02,11.8
-3.808e-02,11.8
-3.792e-02,11.8
-3.776e-02,11.8
-3.760e-02,11.8
-3.744e-02,11.8
-3.728e-02,11.8
-3.712e-02,11.8
-3.696e-02,11.6
-3.680e-02,11.8
-3.664e-02,11.8
-3.648e-02,11.8
-3.632e-02,11.8
-3.616e-02,11.8
-3.600e-02,11.6
-3.584e-02,11.8
-3.568e-02,11.6
-3.552e-02,11.8
-3.536e-02,11.6
-3.520e-02,11.8
-3.504e-02,11.6
-3.488e-02,11.6
-3.472e-02,11.8
-3.456e-02,11.8
-3.440e-02,11.8
-3.424e-02,11.8
-3.408e-02,11.8
-3.392e-02,11.8
-3.376e-02,11.8
-3.360e-02,11.8
-3.344e-02,11.8
-3.328e-02,11.8
-3.312e-02,11.8
-3.296e-02,11.8
-3.280e-02,11.8
-3.264e-02,11.8
-3.248e-02,11.8
-3.232e-02,11.8
-3.216e-02,11.8
-3.200e-02,11.8
-3.184e-02,11.8
-3.168e-02,11.8
-3.152e-02,11.8
-3.136e-02,11.8
-3.120e-02,11.8
-3.104e-02,11.8
-3.088e-02,11.8
-3.072e-02,11.6
-3.056e-02,11.8
-3.040e-02,11.8
-3.024e-02,11.8
-3.008e-02,11.8
-2.992e-02,11.8
-2.976e-02,11.8
-2.960e-02,11.8
-2.944e-02,11.6
-2.928e-02,11.8
-2.912e-02,11.8
-2.896e-02,11.8
-2.880e-02,11.8
-2.864e-02,11.8
-2.848e-02,11.8
-2.832e-02,11.8
-2.816e-02,11.6
-2.800e-02,11.8
-2.784e-02,11.8
-2.768e-02,11.8
-2.752e-02,11.8
-2.736e-02,11.8
-2.720e-02,11.6
-2.704e-02,11.8
-2.688e-02,11.8
-2.672e-02,11.6
-2.656e-02,11.8
-2.640e-02,11.8
-2.624e-02,11.8
-2.608e-02,11.8
-2.592e-02,11.8
-2.576e-02,11.6
-2.560e-02,11.8
-2.544e-02,11.6
-2.528e-02,11.6
-2.512e-02,11.8
-2.496e-02,11.8
-2.480e-02,11.8
-2.464e-02,11.8
-2.448e-02,11.8
-2.432e-02,11.6
-2.416e-02,11.8
-2.400e-02,11.6
-2.384e-02,11.8
-2.368e-02,11.8
-2.352e-02,11.8
-2.336e-02,11.6
-2.320e-02,11.6
-2.304e-02,11.8
-2.288e-02,11.8
-2.272e-02,11.8
-2.256e-02,11.8
-2.240e-02,11.8
-2.224e-02,11.8
-2.208e-02,11.8
-2.192e-02,11.8
-2.176e-02,11.8
-2.160e-02,11.8
-2.144e-02,11.8
-2.128e-02,11.8
-2.112e-02,11.8
-2.096e-02,11.6
-2.080e-02,11.8
-2.064e-02,11.8
-2.048e-02,11.8
-2.032e-02,11.8
-2.016e-02,11.8
-2.000e-02,11.6
-1.984e-02,11.8
-1.968e-02,11.6
-1.952e-02,11.8
-1.936e-02,11.8
-1.920e-02,11.8
-1.904e-02,11.6
-1.888e-02,11.8
-1.872e-02,11.6
-1.856e-02,11.8
-1.840e-02,11.6
-1.824e-02,11.8
-1.808e-02,11.6
-1.792e-02,11.8
-1.776e-02,11.8
-1.760e-02,11.6
-1.744e-02,11.8
-1.728e-02,11.8
-1.712e-02,11.8
-1.696e-02,11.6
-1.680e-02,11.8
-1.664e-02,11.8
-1.648e-02,11.8
-1.632e-02,11.8
-1.616e-02,11.6
-1.600e-02,11.6
-1.584e-02,11.8
-1.568e-02,11.8
-1.552e-02,11.8
-1.536e-02,11.8
-1.520e-02,11.6
-1.504e-02,11.8
-1.488e-02,11.8
-1.472e-02,11.8
-1.456e-02,11.8
-1.440e-02,11.6
-1.424e-02,11.8
-1.408e-02,11.8
-1.392e-02,11.8
-1.376e-02,11.8
-1.360e-02,11.8
-1.344e-02,11.8
-1.328e-02,11.8
-1.312e-02,11.8
-1.296e-02,11.8
-1.280e-02,11.8
-1.264e-02,11.6
-1.248e-02,11.8
-1.232e-02,11.8
-1.216e-02,11.6
-1.200e-02,11.8
-1.184e-02,11.8
-1.168e-02,11.8
-1.152e-02,11.8
-1.136e-02,11.6
-1.120e-02,11.8
-1.104e-02,11.6
-1.088e-02,11.8
-1.072e-02,11.8
-1.056e-02,11.8
-1.040e-02,11.8
-1.024e-02,11.8
-1.008e-02,11.8
-9.920e-03,11.8
-9.760e-03,11.6
-9.600e-03,11.8
-9.440e-03,11.8
-9.280e-03,11.6
-9.120e-03,11.8
-8.960e-03,11.6
-8.800e-03,11.8
-8.640e-03,11.8
-8.480e-03,11.8
-8.320e-03,11.8
-8.160e-03,11.8
-8.000e-03,11.8
-7.840e-03,11.8
-7.680e-03,11.8
-7.520e-03,11.6
-7.360e-03,11.8
-7.200e-03,11.8
-7.040e-03,11.8
-6.880e-03,11.8
-6.720e-03,11.8
-6.560e-03,11.8
-6.400e-03,11.6
-6.240e-03,11.8
-6.080e-03,11.6
-5.920e-03,11.6
-5.760e-03,11.8
-5.600e-03,11.6
-5.440e-03,11.8
-5.280e-03,11.8
-5.120e-03,11.6
-4.960e-03,11.8
-4.800e-03,11.8
-4.640e-03,11.6
-4.480e-03,11.6
-4.320e-03,11.8
-4.160e-03,11.8
-4.000e-03,11.6
-3.840e-03,11.8
-3.680e-03,11.6
-3.520e-03,11.8
-3.360e-03,11.8
-3.200e-03,11.6
-3.040e-03,11.8
-2.880e-03,11.8
-2.720e-03,11.8
-2.560e-03,11.8
-2.400e-03,11.8
-2.240e-03,11.8
-2.080e-03,11.8
-1.920e-03,11.6
-1.760e-03,11.8
-1.600e-03,11.6
-1.440e-03,11.8
-1.280e-03,11.6
-1.120e-03,11.8
-9.600e-04,11.8
-8.000e-04,11.8
-6.400e-04,11.8
-4.800e-04,11.8
-3.200e-04,11.6
-1.600e-04,11.8
1.834e-16,6.2
1.600e-04,3.2
3.200e-04,1.8
4.800e-04,0.8
6.400e-04,0.6
8.000e-04,0.2
9.600e-04,0.2
1.120e-03,0
1.280e-03,0.2
1.440e-03,0
1.600e-03,0
1.760e-03,0
1.920e-03,0
2.080e-03,0
2.240e-03,0
2.400e-03,0
2.560e-03,0
2.720e-03,0
2.880e-03,0
3.040e-03,0
3.200e-03,0
3.360e-03,0
3.520e-03,0
3.680e-03,0
3.840e-03,0
4.000e-03,0
4.160e-03,0
4.320e-03,0
4.480e-03,0
4.640e-03,0
4.800e-03,0
